annual_income_range,employment_status,job_title,industry,property_ownership,socio-economic_classification,tax_bracket,wealth_index,debt_levels,retirement_savings,investment_types,household_expenses,credit_worthiness,income_growth_rate,employment_history,affluence
$100k-$200k,Freelancer,Clerk,Other,Owner,Lower,30-40%,High,High Debt,$50k-$100k,Mutual Funds,<$1000,Poor,Negative,Stable,High Affluence
$50k-$100k,Employed,Manager,IT,Owner,Lower,20-30%,Medium,No Debt,<$50k,Cryptocurrency,<$1000,Poor,10%+,Frequent Changes,Low Affluence
$25k-$50k,Unemployed,Technician,IT,Other,Upper,<10%,Medium,No Debt,>$200k,Stocks,>$5000,Poor,5-10%,Frequent Changes,High Affluence
>$200k,Freelancer,Manager,Other,Owner,Lower-Middle,30-40%,Low,Moderate Debt,$50k-$100k,Real Estate,>$5000,Good,5-10%,Stable,High Affluence
>$200k,Unemployed,Other,IT,Owner,Lower,40%+,High,No Debt,<$50k,Real Estate,>$5000,Excellent,Negative,Unstable,High Affluence
>$200k,Employed,Other,Healthcare,Other,Middle,<10%,Medium,No Debt,$100k-$200k,Real Estate,>$5000,Fair,10%+,Frequent Changes,High Affluence
<$25k,Employed,Clerk,Healthcare,Other,Middle,10-20%,Low,High Debt,$100k-$200k,None,<$1000,Good,0-5%,Stable,Low Affluence
$25k-$50k,Employed,Consultant,Finance,Owner,Upper-Middle,10-20%,High,Moderate Debt,$50k-$100k,Cryptocurrency,$3000-$5000,Good,5-10%,Unstable,High Affluence
>$200k,Part-time,Manager,IT,Renter,Upper-Middle,20-30%,Medium,Moderate Debt,$50k-$100k,None,>$5000,Good,Negative,Stable,High Affluence
<$25k,Employed,Consultant,Education,Other,Lower,10-20%,High,Low Debt,>$200k,Cryptocurrency,<$1000,Good,Negative,Unstable,Low Affluence
>$200k,Unemployed,Manager,IT,Renter,Lower,40%+,Medium,No Debt,$100k-$200k,Real Estate,<$1000,Good,0-5%,Frequent Changes,High Affluence
>$200k,Employed,Technician,Other,Owner,Lower,40%+,Medium,No Debt,$100k-$200k,Mutual Funds,>$5000,Good,0-5%,Frequent Changes,High Affluence
>$200k,Employed,Other,Finance,Renter,Lower-Middle,10-20%,Medium,No Debt,$50k-$100k,Cryptocurrency,$3000-$5000,Excellent,0-5%,Stable,High Affluence
$25k-$50k,Freelancer,Technician,Finance,Other,Lower,10-20%,Low,High Debt,<$50k,Real Estate,$1000-$3000,Poor,0-5%,Frequent Changes,High Affluence
$50k-$100k,Unemployed,Consultant,IT,Renter,Upper-Middle,40%+,Low,Moderate Debt,$100k-$200k,None,>$5000,Excellent,5-10%,Stable,Low Affluence
$100k-$200k,Employed,Manager,Other,Owner,Middle,30-40%,Medium,Low Debt,>$200k,Mutual Funds,$1000-$3000,Excellent,10%+,Stable,High Affluence
<$25k,Freelancer,Clerk,IT,Other,Upper-Middle,10-20%,Low,Moderate Debt,<$50k,Real Estate,<$1000,Fair,Negative,Unstable,Low Affluence
$50k-$100k,Part-time,Technician,Healthcare,Other,Lower,40%+,High,Moderate Debt,$50k-$100k,Stocks,$1000-$3000,Excellent,Negative,Frequent Changes,Low Affluence
<$25k,Employed,Clerk,Other,Other,Lower-Middle,<10%,Medium,Low Debt,<$50k,Stocks,>$5000,Fair,Negative,Frequent Changes,Low Affluence
<$25k,Freelancer,Clerk,Healthcare,Renter,Lower,30-40%,Low,High Debt,<$50k,Stocks,$1000-$3000,Poor,Negative,Unstable,Low Affluence
$25k-$50k,Employed,Clerk,Other,Owner,Lower,30-40%,Medium,High Debt,$50k-$100k,Stocks,$3000-$5000,Poor,10%+,Stable,High Affluence
$50k-$100k,Employed,Manager,Healthcare,Owner,Middle,20-30%,High,No Debt,<$50k,Mutual Funds,$3000-$5000,Poor,Negative,Stable,Low Affluence
>$200k,Employed,Other,Finance,Renter,Lower,40%+,Low,High Debt,>$200k,Stocks,>$5000,Fair,0-5%,Stable,High Affluence
>$200k,Freelancer,Other,Finance,Renter,Lower-Middle,10-20%,Low,Low Debt,$100k-$200k,Cryptocurrency,$3000-$5000,Good,Negative,Unstable,High Affluence
$100k-$200k,Freelancer,Manager,Healthcare,Renter,Lower-Middle,10-20%,Low,No Debt,$100k-$200k,Cryptocurrency,<$1000,Fair,Negative,Stable,High Affluence
$25k-$50k,Part-time,Manager,Finance,Renter,Middle,<10%,Low,Moderate Debt,$50k-$100k,Stocks,$1000-$3000,Fair,Negative,Frequent Changes,High Affluence
$50k-$100k,Freelancer,Technician,Healthcare,Renter,Upper,30-40%,Medium,High Debt,$100k-$200k,Cryptocurrency,$1000-$3000,Poor,0-5%,Frequent Changes,Low Affluence
$100k-$200k,Freelancer,Clerk,Other,Other,Middle,30-40%,Medium,Moderate Debt,$100k-$200k,Stocks,$3000-$5000,Poor,0-5%,Frequent Changes,High Affluence
$50k-$100k,Freelancer,Clerk,Healthcare,Renter,Middle,10-20%,Medium,Moderate Debt,$100k-$200k,Real Estate,<$1000,Excellent,10%+,Unstable,Low Affluence
$100k-$200k,Employed,Manager,Finance,Other,Middle,<10%,Low,No Debt,>$200k,None,$1000-$3000,Excellent,0-5%,Unstable,High Affluence
$100k-$200k,Employed,Technician,Finance,Renter,Upper,30-40%,Medium,No Debt,>$200k,Stocks,$3000-$5000,Excellent,Negative,Stable,High Affluence
$100k-$200k,Unemployed,Manager,IT,Renter,Upper-Middle,40%+,High,No Debt,$100k-$200k,Stocks,$1000-$3000,Fair,0-5%,Frequent Changes,High Affluence
$50k-$100k,Part-time,Technician,Other,Renter,Middle,<10%,Medium,Low Debt,<$50k,Mutual Funds,>$5000,Good,0-5%,Stable,Low Affluence
$100k-$200k,Part-time,Other,Healthcare,Renter,Upper,40%+,Low,Moderate Debt,>$200k,None,<$1000,Excellent,0-5%,Stable,High Affluence
$25k-$50k,Part-time,Technician,Healthcare,Other,Upper,20-30%,High,No Debt,>$200k,Mutual Funds,$3000-$5000,Poor,10%+,Unstable,High Affluence
$50k-$100k,Unemployed,Consultant,Finance,Renter,Lower-Middle,10-20%,Medium,High Debt,<$50k,Mutual Funds,$3000-$5000,Good,0-5%,Unstable,Low Affluence
<$25k,Employed,Consultant,IT,Owner,Lower,<10%,High,Moderate Debt,<$50k,Mutual Funds,>$5000,Poor,0-5%,Unstable,Low Affluence
$50k-$100k,Employed,Technician,Other,Renter,Upper,<10%,High,Moderate Debt,$50k-$100k,Real Estate,$3000-$5000,Fair,0-5%,Stable,Low Affluence
>$200k,Part-time,Technician,IT,Renter,Upper,<10%,Low,No Debt,>$200k,None,<$1000,Excellent,5-10%,Stable,High Affluence
$100k-$200k,Part-time,Clerk,Finance,Other,Upper-Middle,<10%,Medium,No Debt,>$200k,None,<$1000,Fair,0-5%,Unstable,High Affluence
$25k-$50k,Unemployed,Consultant,Finance,Other,Upper,40%+,Medium,No Debt,<$50k,Real Estate,$1000-$3000,Fair,10%+,Unstable,High Affluence
$50k-$100k,Employed,Consultant,Healthcare,Renter,Upper-Middle,20-30%,Low,No Debt,<$50k,None,$1000-$3000,Fair,Negative,Unstable,Low Affluence
$25k-$50k,Part-time,Consultant,Healthcare,Renter,Lower,40%+,Low,Moderate Debt,$100k-$200k,Cryptocurrency,$1000-$3000,Fair,Negative,Frequent Changes,High Affluence
$100k-$200k,Part-time,Other,Healthcare,Owner,Lower,40%+,Low,Low Debt,$50k-$100k,Real Estate,$1000-$3000,Poor,0-5%,Stable,High Affluence
$25k-$50k,Unemployed,Consultant,Finance,Owner,Upper,10-20%,Medium,Moderate Debt,>$200k,None,<$1000,Poor,5-10%,Stable,High Affluence
$25k-$50k,Unemployed,Clerk,Other,Other,Upper,40%+,High,High Debt,>$200k,Mutual Funds,>$5000,Fair,Negative,Unstable,High Affluence
$100k-$200k,Part-time,Manager,Other,Owner,Lower-Middle,10-20%,High,No Debt,<$50k,None,$1000-$3000,Good,Negative,Stable,High Affluence
$50k-$100k,Freelancer,Consultant,Education,Renter,Upper-Middle,20-30%,High,Low Debt,$50k-$100k,Real Estate,<$1000,Fair,Negative,Frequent Changes,Low Affluence
$50k-$100k,Unemployed,Other,Other,Renter,Lower-Middle,30-40%,Medium,Moderate Debt,<$50k,Real Estate,$3000-$5000,Poor,10%+,Stable,Low Affluence
>$200k,Part-time,Other,Healthcare,Renter,Lower,10-20%,High,Moderate Debt,>$200k,Cryptocurrency,$1000-$3000,Fair,10%+,Stable,High Affluence
$50k-$100k,Freelancer,Clerk,Healthcare,Owner,Middle,10-20%,Medium,No Debt,>$200k,Mutual Funds,>$5000,Poor,5-10%,Frequent Changes,Low Affluence
$50k-$100k,Employed,Clerk,Other,Renter,Upper,<10%,Medium,No Debt,>$200k,None,<$1000,Fair,0-5%,Stable,Low Affluence
$25k-$50k,Part-time,Manager,Finance,Renter,Upper-Middle,20-30%,Medium,Moderate Debt,<$50k,Cryptocurrency,<$1000,Good,10%+,Unstable,High Affluence
<$25k,Unemployed,Manager,Healthcare,Owner,Upper-Middle,30-40%,Medium,Moderate Debt,$50k-$100k,Mutual Funds,$1000-$3000,Poor,0-5%,Stable,Low Affluence
$100k-$200k,Freelancer,Clerk,Healthcare,Other,Upper-Middle,10-20%,Medium,Low Debt,$100k-$200k,Cryptocurrency,$3000-$5000,Poor,0-5%,Unstable,High Affluence
<$25k,Unemployed,Other,Other,Owner,Upper-Middle,20-30%,High,High Debt,$50k-$100k,None,$1000-$3000,Poor,0-5%,Frequent Changes,Low Affluence
$50k-$100k,Part-time,Technician,Other,Renter,Middle,40%+,Medium,No Debt,<$50k,Stocks,$1000-$3000,Good,Negative,Frequent Changes,Low Affluence
$100k-$200k,Unemployed,Consultant,Education,Owner,Upper-Middle,40%+,Medium,No Debt,$50k-$100k,Real Estate,>$5000,Good,0-5%,Frequent Changes,High Affluence
<$25k,Part-time,Manager,Education,Renter,Lower-Middle,10-20%,Medium,No Debt,$100k-$200k,Real Estate,$1000-$3000,Good,Negative,Frequent Changes,Low Affluence
$50k-$100k,Employed,Manager,Healthcare,Other,Lower,<10%,Medium,High Debt,$50k-$100k,Stocks,$3000-$5000,Excellent,5-10%,Stable,Low Affluence
$100k-$200k,Freelancer,Manager,Healthcare,Renter,Upper,30-40%,Low,No Debt,$50k-$100k,Cryptocurrency,<$1000,Poor,0-5%,Stable,High Affluence
$25k-$50k,Part-time,Manager,Other,Renter,Upper-Middle,10-20%,Medium,Moderate Debt,<$50k,Real Estate,>$5000,Good,10%+,Unstable,High Affluence
$100k-$200k,Employed,Manager,Finance,Renter,Lower-Middle,<10%,Medium,Moderate Debt,$100k-$200k,Mutual Funds,<$1000,Excellent,5-10%,Stable,High Affluence
<$25k,Unemployed,Consultant,Finance,Renter,Middle,40%+,High,No Debt,$100k-$200k,None,<$1000,Poor,10%+,Unstable,Low Affluence
