education_level,field_of_study,institution_type,graduation_year,current_enrollment,academic_performance,continuing_education,post-graduation_education,scholarships/financial_aid,online_learning_engagement
Master's Degree,Health Sciences,Private,2001,Yes,Excellent,No,Pursuing Post-graduate,Yes,Rare
High School,Social Sciences,Vocational,2010,Yes,Good,Yes,None,No,None
High School,Social Sciences,Vocational,2018,No,Below Average,No,None,Yes,None
Doctorate,Other,Private,2004,No,Below Average,No,None,Yes,Frequent
High School,Other,Online,2013,No,Excellent,No,None,Yes,Occasional
Master's Degree,Humanities,Online,2000,Yes,Not Applicable,No,Pursuing Post-graduate,Yes,None
High School,Technology,Public,2024,No,Not Applicable,No,Completed Post-graduate,No,Frequent
Master's Degree,Health Sciences,Vocational,2013,No,Average,Yes,Pursuing Post-graduate,No,Frequent
Associate Degree,Humanities,Online,2016,No,Excellent,Yes,Pursuing Post-graduate,No,Rare
None,Social Sciences,Public,2001,Yes,Excellent,Yes,Pursuing Post-graduate,Yes,None
Associate Degree,Health Sciences,Vocational,2009,Yes,Not Applicable,No,Completed Post-graduate,Yes,None
None,Engineering,Online,2010,Yes,Average,No,None,No,Rare
None,Business,Vocational,2013,Yes,Below Average,No,Pursuing Post-graduate,No,Rare
High School,Arts,Public,2011,Yes,Excellent,No,Completed Post-graduate,No,None
Doctorate,Business,Private,2013,Yes,Not Applicable,No,None,No,Occasional
Doctorate,Social Sciences,Public,2005,No,Good,No,Completed Post-graduate,No,None
Associate Degree,Engineering,Private,2021,No,Good,No,None,No,Rare
High School,Social Sciences,Online,2023,Yes,Below Average,No,Completed Post-graduate,No,Frequent
High School,Engineering,Public,2017,No,Excellent,Yes,None,No,Occasional
None,Business,Vocational,2023,Yes,Good,No,Completed Post-graduate,No,Rare
None,Health Sciences,Vocational,2004,No,Not Applicable,Yes,Pursuing Post-graduate,No,Frequent
Doctorate,Engineering,Vocational,2011,Yes,Excellent,No,Completed Post-graduate,No,Rare
Associate Degree,Engineering,Public,2025,Yes,Below Average,No,Pursuing Post-graduate,No,Occasional
Master's Degree,Business,Private,2000,Yes,Below Average,Yes,Completed Post-graduate,No,Frequent
Doctorate,Technology,Public,2013,No,Below Average,No,None,Yes,Occasional
Bachelor's Degree,Humanities,Online,2022,Yes,Below Average,No,Completed Post-graduate,Yes,Rare
Doctorate,Arts,Online,2021,Yes,Good,Yes,Completed Post-graduate,No,Frequent
Associate Degree,Social Sciences,Public,2024,No,Below Average,Yes,None,Yes,Rare
Bachelor's Degree,Humanities,Public,2019,No,Average,No,Completed Post-graduate,Yes,None
Master's Degree,Engineering,Online,2017,No,Good,No,Completed Post-graduate,No,None
High School,Social Sciences,Online,2004,Yes,Below Average,No,Pursuing Post-graduate,Yes,None
None,Other,Public,2015,Yes,Below Average,Yes,Pursuing Post-graduate,No,Rare
Master's Degree,Engineering,Public,2024,No,Not Applicable,No,None,Yes,Frequent
High School,Engineering,Private,2008,Yes,Good,No,Pursuing Post-graduate,No,Occasional
Associate Degree,Business,Public,2017,Yes,Below Average,Yes,Pursuing Post-graduate,No,None
Associate Degree,Humanities,Public,2014,No,Not Applicable,Yes,Completed Post-graduate,No,Occasional
Master's Degree,Other,Public,2014,Yes,Average,No,Pursuing Post-graduate,Yes,Rare
Associate Degree,Business,Online,2022,No,Average,Yes,Pursuing Post-graduate,No,Occasional
High School,Other,Online,2008,Yes,Excellent,Yes,None,Yes,Rare
Master's Degree,Engineering,Public,2003,No,Average,Yes,Completed Post-graduate,No,None
None,Business,Online,2021,Yes,Below Average,No,None,Yes,Frequent
Associate Degree,Engineering,Public,2022,No,Not Applicable,Yes,None,No,Occasional
High School,Business,Online,2024,Yes,Good,No,Pursuing Post-graduate,No,Rare
None,Health Sciences,Public,2021,Yes,Average,No,None,No,Rare
Associate Degree,Other,Public,2010,Yes,Not Applicable,Yes,Pursuing Post-graduate,Yes,None
Master's Degree,Other,Public,2021,Yes,Average,No,Pursuing Post-graduate,Yes,Frequent
Bachelor's Degree,Health Sciences,Online,2002,Yes,Excellent,No,Pursuing Post-graduate,No,Rare
Master's Degree,Humanities,Online,2010,Yes,Below Average,No,Completed Post-graduate,No,Rare
Associate Degree,Engineering,Vocational,2020,Yes,Not Applicable,No,None,No,None
Master's Degree,Other,Public,2008,Yes,Good,Yes,Completed Post-graduate,No,None
