credit_score,spending_patterns,savings_account_usage,investment_portfolios,loan_information,mortgage_details,credit_card_usage,insurance_policies,financial_goals,emergency_fund_status,financial_planning_services,budget_adherence,debt_management_practices,tax_planning_strategies,charitable_contributions
Poor,High,Occasional,Bonds,Yes,Yes,Moderate,Home,Travel,Adequate,Yes,Excellent,None,No,Occasional
Excellent,Low,Occasional,None,Yes,No,Moderate,Home,Education,Insufficient,No,Poor,Aggressive,Yes,Occasional
Poor,Low,Occasional,Stocks,No,Yes,Moderate,None,None,Insufficient,No,Good,Moderate,Yes,None
Fair,Moderate,Occasional,Real Estate,No,No,High,Health,None,None,Yes,Fair,Conservative,No,Occasional
Fair,Moderate,None,Bonds,No,Yes,Moderate,Life,Buying a House,Adequate,No,Poor,Moderate,No,Occasional
Poor,Moderate,Frequent,Bonds,Yes,No,Moderate,Car,Buying a House,None,No,Fair,Aggressive,No,Frequent
Excellent,Low,Occasional,Real Estate,Yes,No,High,Health,None,Adequate,Yes,Poor,Conservative,Yes,None
Fair,Low,Frequent,Real Estate,Yes,No,High,Car,None,Insufficient,No,Fair,Aggressive,No,None
Excellent,Low,Occasional,Bonds,Yes,Yes,High,None,Travel,Insufficient,Yes,Good,None,No,None
Fair,Low,None,Real Estate,Yes,No,Low,Car,Education,Adequate,No,Poor,Moderate,Yes,None
Fair,High,None,Cryptocurrency,No,No,Low,Home,Education,None,Yes,Good,None,No,Occasional
Poor,Low,Frequent,Bonds,No,Yes,High,Car,Travel,Adequate,No,Excellent,None,Yes,None
Poor,High,Occasional,Real Estate,Yes,Yes,Low,Health,Buying a House,Adequate,No,Poor,Moderate,Yes,None
Excellent,Low,None,Stocks,Yes,No,High,Car,Buying a House,None,Yes,Fair,Aggressive,No,Occasional
Poor,Low,None,Cryptocurrency,Yes,Yes,High,None,Retirement,Insufficient,Yes,Fair,None,Yes,Frequent
Poor,High,Frequent,Cryptocurrency,No,Yes,High,Car,Travel,Insufficient,Yes,Fair,Aggressive,No,None
Poor,High,None,None,No,Yes,High,Home,Buying a House,Adequate,Yes,Good,Aggressive,No,Frequent
Poor,Low,Occasional,None,Yes,Yes,Low,None,Travel,Insufficient,No,Good,Aggressive,Yes,Occasional
Excellent,High,None,Real Estate,Yes,Yes,Low,Health,Buying a House,Insufficient,No,Poor,Aggressive,Yes,Frequent
Excellent,High,None,Real Estate,No,No,Low,Home,Buying a House,Adequate,No,Fair,Aggressive,Yes,Frequent
Excellent,Moderate,None,Cryptocurrency,No,No,High,Home,Travel,Insufficient,No,Excellent,Conservative,Yes,None
Good,High,Occasional,Real Estate,No,No,High,Health,Education,None,Yes,Good,None,Yes,Frequent
Excellent,High,Frequent,Real Estate,Yes,No,Moderate,Car,Education,Adequate,Yes,Excellent,None,No,None
Poor,Moderate,Occasional,Stocks,No,Yes,High,Car,Education,Insufficient,Yes,Poor,Aggressive,Yes,Occasional
Excellent,High,None,Stocks,No,Yes,Moderate,Car,Travel,Insufficient,Yes,Good,Moderate,No,Occasional
Poor,High,Frequent,None,Yes,No,Low,Home,Buying a House,Insufficient,No,Good,Conservative,No,Occasional
Good,Moderate,None,Cryptocurrency,Yes,Yes,High,None,Retirement,None,No,Good,Aggressive,No,Occasional
Fair,Moderate,None,Bonds,Yes,No,Low,Life,Education,None,Yes,Good,Conservative,Yes,Frequent
Excellent,High,None,None,Yes,Yes,Moderate,None,Retirement,Adequate,Yes,Fair,Conservative,No,Occasional
Excellent,High,Frequent,Real Estate,No,No,Low,None,Buying a House,Adequate,Yes,Fair,Aggressive,Yes,None
Excellent,Low,Occasional,Real Estate,No,No,Low,Health,Buying a House,None,Yes,Poor,None,No,Occasional
Good,Low,None,Bonds,No,Yes,Moderate,Health,None,None,Yes,Excellent,Aggressive,No,Occasional
Excellent,Low,Occasional,Cryptocurrency,Yes,No,Low,Life,None,None,Yes,Poor,Aggressive,Yes,Occasional
Poor,Moderate,Occasional,None,Yes,Yes,Moderate,Home,None,None,Yes,Poor,Conservative,No,None
Good,Low,Frequent,Cryptocurrency,Yes,No,High,None,Travel,None,No,Good,None,Yes,None
Fair,Low,None,Bonds,Yes,Yes,Low,Home,Buying a House,Adequate,Yes,Poor,Conservative,Yes,Frequent
Fair,High,None,Cryptocurrency,No,No,Low,Health,Retirement,Adequate,Yes,Fair,None,No,Frequent
Fair,Moderate,None,Real Estate,Yes,Yes,High,None,Retirement,Adequate,No,Fair,Aggressive,No,Occasional
Poor,Moderate,Frequent,None,Yes,No,Low,Home,Education,Adequate,No,Poor,Moderate,Yes,None
Good,Low,None,None,No,Yes,Low,Health,Travel,None,No,Good,Aggressive,No,None
Good,Moderate,Frequent,Stocks,Yes,Yes,Low,Health,None,Adequate,Yes,Good,Moderate,Yes,Frequent
Fair,Low,Frequent,Cryptocurrency,No,Yes,High,Life,Retirement,Insufficient,No,Poor,None,Yes,Frequent
Good,Moderate,None,Bonds,No,Yes,High,None,Travel,None,No,Excellent,None,Yes,Frequent
Poor,High,Frequent,Stocks,No,Yes,High,Home,Buying a House,Adequate,Yes,Fair,None,No,None
Fair,Low,Frequent,Bonds,No,Yes,Low,Car,Travel,Insufficient,Yes,Good,None,Yes,Occasional
Excellent,High,Frequent,Cryptocurrency,No,No,High,Home,Travel,Adequate,Yes,Good,Moderate,No,Occasional
Fair,Moderate,None,Cryptocurrency,Yes,No,Low,Home,Buying a House,Insufficient,Yes,Fair,Aggressive,No,None
Fair,High,Occasional,Cryptocurrency,No,No,Low,Health,None,None,No,Excellent,Conservative,No,Frequent
Fair,Low,None,Cryptocurrency,No,No,Moderate,Car,Buying a House,None,No,Poor,Moderate,No,None
Excellent,Moderate,Occasional,Cryptocurrency,No,No,High,Life,Education,Adequate,No,Excellent,Conservative,Yes,Frequent
Good,Low,None,Real Estate,Yes,No,Low,Health,Travel,Adequate,No,Fair,Aggressive,No,Frequent
Excellent,Moderate,Occasional,Stocks,Yes,No,Low,Life,Retirement,Adequate,Yes,Fair,Moderate,No,Frequent
Fair,High,Occasional,Cryptocurrency,No,No,High,None,Retirement,None,Yes,Fair,Conservative,No,Frequent
Good,High,Frequent,Stocks,Yes,Yes,High,None,None,Adequate,No,Good,Aggressive,No,Occasional
Excellent,High,None,Real Estate,Yes,No,High,Home,Education,Insufficient,No,Fair,None,Yes,Frequent
Good,Low,None,Cryptocurrency,Yes,No,Low,Home,Travel,None,Yes,Poor,Aggressive,Yes,Frequent
Fair,High,Occasional,Real Estate,No,Yes,High,Life,None,None,No,Poor,Moderate,No,Frequent
Fair,Low,Frequent,Stocks,Yes,Yes,Moderate,Life,Retirement,Insufficient,Yes,Excellent,None,Yes,Frequent
Good,Low,Occasional,Stocks,No,No,Moderate,Health,Retirement,Adequate,No,Fair,Aggressive,Yes,None
Poor,Low,Occasional,Stocks,Yes,Yes,Moderate,None,Travel,Adequate,Yes,Good,None,No,None
Fair,Moderate,None,Bonds,Yes,Yes,High,Home,Buying a House,Adequate,No,Fair,Aggressive,No,Occasional
Good,High,Occasional,None,No,No,High,Health,Travel,Insufficient,Yes,Excellent,None,Yes,Occasional
Poor,Low,None,Bonds,No,Yes,Moderate,Life,Education,Insufficient,No,Poor,Aggressive,Yes,Frequent
Good,High,Frequent,Bonds,Yes,No,High,Car,Retirement,None,Yes,Fair,Aggressive,Yes,Occasional
Poor,Low,Frequent,Stocks,No,Yes,Moderate,Life,None,None,Yes,Fair,Conservative,No,None
Fair,Moderate,Frequent,Real Estate,No,No,Low,Home,Buying a House,None,Yes,Excellent,Aggressive,Yes,Frequent
Poor,Low,Occasional,Stocks,Yes,No,Low,None,Education,Insufficient,Yes,Good,Conservative,Yes,None
Poor,Moderate,Frequent,Stocks,Yes,No,Moderate,Home,Retirement,Adequate,Yes,Good,None,No,Frequent
Fair,Moderate,Frequent,Stocks,Yes,No,High,Health,Retirement,Insufficient,Yes,Poor,None,Yes,Occasional
Poor,Moderate,Occasional,Real Estate,No,Yes,Low,None,Retirement,None,No,Good,Moderate,No,Occasional
Poor,High,Frequent,None,No,No,High,Home,Travel,Adequate,No,Poor,None,No,Frequent
Fair,High,Occasional,None,No,No,Low,Home,None,Insufficient,Yes,Poor,Conservative,Yes,Occasional
