lifestyle_preferences,personal_values,hobbies,media_consumption,attitudes_towards_technology,risk_tolerance,social_values_orientation,political_affiliation,community_involvement,travel_preferences,cultural_activities_participation,leadership_propensity,charitable_activities,fashion_preferences,privacy_concerns
Sedentary,Adventure,Sports,Magazines,Neutral,High,Collectivist,Conservative,Occasional,International,Occasional,Low,Frequent,Trendy,Low
Active,Career,Travel,Streaming,Resistant,Moderate,Behavioralistic,Independent,Inactive,Luxury,Rare,Moderate,None,Trendy,Low
Balanced,Community,Travel,Social Media,Neutral,Moderate,Behavioralistic,Liberal,Occasional,International,Rare,High,Occasional,Classic,High
Active,Community,Reading,Social Media,Enthusiastic,Low,Collectivist,Conservative,Occasional,Luxury,Occasional,Moderate,Frequent,Minimalist,Low
Balanced,Career,Sports,TV,Resistant,High,Behavioralistic,Independent,Inactive,Domestic,Occasional,Moderate,None,Casual,Moderate
Sedentary,Family,Gaming,Social Media,Enthusiastic,Moderate,Behavioralistic,Conservative,Occasional,Adventure,Rare,Moderate,Frequent,Trendy,Moderate
Balanced,Community,Gaming,Social Media,Neutral,Moderate,Collectivist,Liberal,Inactive,Domestic,Frequent,Moderate,Frequent,Trendy,Moderate
Sedentary,Career,Cooking,Streaming,Neutral,Moderate,Collectivist,Liberal,Occasional,Adventure,Rare,Moderate,Occasional,Minimalist,Low
Sedentary,Family,Reading,TV,Neutral,Moderate,Behavioralistic,Liberal,Occasional,Luxury,Occasional,Low,None,Classic,Low
Sedentary,Community,Sports,Streaming,Resistant,Moderate,Behavioralistic,Liberal,Active,International,Frequent,High,Frequent,Classic,Low
Active,Career,Sports,TV,Neutral,Moderate,Collectivist,Independent,Inactive,Luxury,Occasional,Low,Occasional,Minimalist,Moderate
Balanced,Family,Cooking,Streaming,Enthusiastic,Low,Behavioralistic,Conservative,Active,International,Occasional,Moderate,Frequent,Classic,High
Sedentary,Community,Cooking,TV,Neutral,Moderate,Collectivist,Independent,Active,International,Frequent,High,None,Casual,High
Active,Community,Gaming,News Websites,Neutral,Moderate,Behavioralistic,Independent,Active,International,Occasional,Low,None,Trendy,Low
Active,Family,Sports,TV,Resistant,High,Behavioralistic,Independent,Inactive,Adventure,Frequent,High,Occasional,Classic,Moderate
Sedentary,Career,Cooking,Magazines,Neutral,Moderate,Behavioralistic,Independent,Occasional,Adventure,Occasional,High,Frequent,Casual,Low
Sedentary,Health,Cooking,News Websites,Resistant,Low,Behavioralistic,Liberal,Inactive,Adventure,Occasional,Low,None,Minimalist,High
Active,Community,Travel,Magazines,Resistant,Low,Behavioralistic,Conservative,Inactive,Luxury,Rare,Moderate,Occasional,Trendy,Low
Balanced,Family,Travel,Magazines,Resistant,High,Collectivist,Independent,Active,International,Frequent,Low,None,Minimalist,Low
Balanced,Family,Sports,Magazines,Resistant,High,Collectivist,Conservative,Active,Domestic,Rare,Moderate,Frequent,Classic,Moderate
Balanced,Community,Travel,Social Media,Resistant,High,Behavioralistic,Independent,Inactive,Domestic,Rare,Low,None,Minimalist,Moderate
Active,Adventure,Travel,News Websites,Neutral,Low,Collectivist,Independent,Occasional,Adventure,Rare,Low,Occasional,Casual,High
Active,Health,Gaming,TV,Neutral,Low,Collectivist,Liberal,Occasional,Domestic,Occasional,Low,None,Minimalist,High
Balanced,Career,Cooking,Streaming,Resistant,Low,Behavioralistic,Independent,Inactive,International,Rare,High,Occasional,Minimalist,Low
Balanced,Family,Travel,Social Media,Resistant,Moderate,Collectivist,Independent,Occasional,International,Rare,Moderate,Occasional,Minimalist,Moderate
Active,Career,Cooking,Social Media,Resistant,High,Collectivist,Liberal,Inactive,Adventure,Occasional,Moderate,Frequent,Minimalist,Moderate
