technology_purchase_history,device_usage_patterns,tech-savvy_level,online_security_measures,software_use_preferences,smart_home_devices_adopted,diy_vs._professional_tech_use,tech_support_utilization,interest_in_emerging_tech,e-government_participation,digital_literacy_assessment,open_source_vs._proprietary_preferences,cloud_service_usage,online_subscription_services,tech_event_attendance
Rare,Laptop,Moderate,Weak,Open Source,Yes,DIY,Frequent,Low,No,High,Proprietary,Frequent,Yes,None
Rare,Tablet,Moderate,None,Open Source,Yes,Professional,Frequent,High,No,Low,Mixed,None,Yes,Occasional
Occasional,Tablet,Low,Strong,Open Source,Yes,DIY,None,Moderate,No,High,Mixed,Frequent,Yes,Occasional
Frequent,Laptop,Low,None,Open Source,Yes,DIY,None,Low,No,High,Proprietary,Occasional,No,Frequent
None,Tablet,Moderate,Strong,Proprietary,No,Mixed,None,Moderate,No,High,Mixed,Frequent,No,None
None,Smartphone,Low,Strong,Mixed,No,Mixed,Frequent,High,Yes,High,Proprietary,None,No,Frequent
Frequent,Laptop,Low,Strong,Mixed,Yes,DIY,Frequent,Low,Yes,Moderate,Proprietary,Frequent,Yes,Frequent
Frequent,Laptop,Moderate,Moderate,Open Source,No,Professional,None,Moderate,Yes,Low,Proprietary,None,Yes,Frequent
Frequent,Smartphone,Moderate,Weak,Open Source,Yes,Mixed,None,Moderate,Yes,Low,Proprietary,Frequent,Yes,Frequent
Rare,Laptop,High,Moderate,Open Source,No,Professional,Frequent,Moderate,Yes,Low,Proprietary,None,Yes,Frequent
Frequent,Laptop,Moderate,None,Proprietary,Yes,DIY,Frequent,Moderate,No,Low,Mixed,Frequent,Yes,Occasional
Rare,Smartphone,High,Moderate,Mixed,No,DIY,Frequent,Moderate,Yes,Low,Open Source,Occasional,Yes,Frequent
Frequent,Smartphone,Moderate,Strong,Proprietary,No,Professional,Frequent,Moderate,Yes,High,Open Source,None,No,Occasional
Rare,Desktop,Low,None,Mixed,Yes,Mixed,None,High,Yes,Moderate,Proprietary,Frequent,No,Occasional
Rare,Desktop,Low,None,Mixed,No,Professional,None,Moderate,No,Low,Proprietary,Frequent,No,Frequent
Rare,Smartphone,High,None,Mixed,Yes,Professional,Frequent,Moderate,No,Moderate,Mixed,Occasional,No,Occasional
None,Laptop,Moderate,None,Proprietary,Yes,Mixed,Occasional,Moderate,No,Low,Open Source,Frequent,Yes,Frequent
Rare,Smartphone,Low,None,Mixed,Yes,DIY,Occasional,High,Yes,High,Open Source,None,No,Occasional
